,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
0,Piso en venta en Calle de Rosalía de Castro,Centro-Areal (Distrito Casco Urbano. Vigo),284000,126,3.0,2.0,Planta: 6ª,Reformado,0,1,0,1,Central,1,1,0
1,"Piso en venta en Avenida de Balaidos, 13, cerca de Camino de Espedrigada",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),196000,115,3.0,2.0,Planta: 1ª,A estrenar,Entre 40 y 60€,1,0,0,Calor azul,0,0,0
2,Piso en venta en Centro,Vilagarcía de Arousa,220000,122,3.0,2.0,,En buen estado,0,0,0,1,No tiene,0,0,1
3,Piso en venta en Travesía Barrio Ribadavia,A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),63000,73,,,Planta: 1ª,A reformar,0,0,0,0,No tiene,0,0,1
4,"Apartamento en venta en Rúa Cuba, 2",Baiona,229000,78,2.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
5,"Piso en venta en Paseo de la Praia de Silgar, 64, cerca de Rúa Vigo",Sanxenxo,235000,62,2.0,2.0,Planta: 6ª,Reformado,0,1,0,1,No tiene,1,1,0
6,Piso en venta en Calle de Benito Corbal,Zona Praza de Barcelos (Pontevedra Capital),260900,155,4.0,2.0,Planta: 1ª,A reformar,Entre 40 y 60€,1,1,1,Central,1,0,0
7,"Apartamento en venta en Avenida de Lugo, 5, cerca de Calle de Faustino Santalices",A Seca-Os Salgueriños (Pontevedra Capital),150000,82,2.0,1.0,,En buen estado,0,1,0,1,Central,0,1,1
8,"Piso en venta en Calle de Caracas, 8",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),270000,100,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Central,0,1,1
9,Piso en venta en Barro,Barro,132000,106,3.0,2.0,Planta: 1ª,En buen estado,65.00 euros.,1,0,0,Eléctrica,1,0,1
10,Piso en venta en Calle de Rua Cela,Darbo (Santa María). Municipio de Cangas,145000,60,2.0,1.0,,En buen estado,36.00 euros.,1,0,1,Eléctrica,1,1,0
11,Piso en venta en Calle Revolta Noalla,Noalla (Santo Estevo). Municipio de Sanxenxo,126000,51,1.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,Eléctrica,1,1,0
12,Apartamento en venta en Rúa Vigo,Sanxenxo,160000,50,1.0,1.0,Planta: 3ª,En buen estado,0,1,1,1,Gas natural,0,0,0
13,Apartamento en venta en Casco Vello,Casco Vello (Distrito Casco Urbano. Vigo),760000,202,3.0,4.0,,En buen estado,0,0,0,0,No tiene,0,0,0
14,Piso en venta en Calle de la Virgen del Camino,Zona Praza de Barcelos (Pontevedra Capital),210000,81,2.0,1.0,Planta: 2ª,En buen estado,0,0,0,1,Gas natural,1,0,0
15,Piso en venta en Calle de la Historia,Zona Praza de Barcelos (Pontevedra Capital),345000,110,4.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
16,Piso en venta en Vilariño,O Hio (Santo Andre). Municipio de Cangas,155000,72,2.0,1.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,1,1,Eléctrica,1,1,0
17,Piso en venta en Pasaxe de San Bartolomeu,Centro-Echegaray (Pontevedra Capital),150000,85,3.0,1.0,Planta: 3ª,En buen estado,0,1,0,0,Central,0,0,1
18,Piso en venta en Plaza España,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),130000,85,3.0,1.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,0,0,0
19,Piso en venta en Teis,Teis (Vigo),200000,130,3.0,2.0,Planta: 2ª,En buen estado,Entre 60 y 80€,1,0,1,Gas natural,1,0,0
20,Apartamento en venta en Rodeira,Coiro (San Salvador). Municipio de Cangas,90000,45,1.0,1.0,Planta: 5ª,En buen estado,0,0,0,1,No tiene,0,0,0
21,Piso en venta en Paseo de Silgar,Sanxenxo,235000,71,2.0,2.0,Planta: 3ª,En buen estado,Entre 40 y 60€,1,1,1,Eléctrica,1,1,0
22,Piso en venta en Castrelos,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),670000,400,3.0,3.0,Planta: 7ª,En buen estado,0,1,1,1,Eléctrica,0,1,0
23,Piso en venta en Calle de Luis Taboada,Centro-Areal (Distrito Casco Urbano. Vigo),617000,174,5.0,2.0,Planta: 5ª,En buen estado,"216.00 euros. acs, fria y calefacción. tambien garajes.",1,0,0,Gasóleo colectivo,1,0,0
24,Piso en venta en Puxeiros,Mos (Santa Eulalia),135000,80,2.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,No tiene,1,0,0
25,Piso en venta en Sanxenxo Playa,Sanxenxo,180000,62,2.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,Gas natural,0,0,1
26,Piso en venta en Calle de Eduardo Pondal,Vilagarcía de Arousa,115000,78,2.0,2.0,Planta: Entresuelo,A estrenar,Entre 40 y 60€,1,0,0,No tiene,1,1,0
27,Piso en venta en Calle de San Salvador,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),298000,167,4.0,3.0,Planta: 6ª,En buen estado,144.00 euros. agua fria,1,1,1,Gas individual,1,1,1
28,Piso en venta en Sanxenxo,Sanxenxo,269000,117,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,No tiene,1,0,0
29,Piso en venta en Calle Marcelina Panete,Lavadores (Vigo),210000,110,3.0,2.0,Planta: 3ª,En buen estado,59.00 euros.,1,0,1,Gas individual,1,0,0
30,"Piso en venta en Calle de Venezuela, cerca de Calle de Celso Emilio Ferreiro",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),455000,160,4.0,3.0,Planta: 7ª,En buen estado,"260.00 euros. agua caliente, fria y calefacción",1,0,1,Gasóleo colectivo,1,1,1
31,"Piso en venta en Paseo de la Praia de Silgar, cerca de Calle Camelios",Sanxenxo,225000,73,2.0,1.0,,En buen estado,0,1,0,1,No tiene,0,1,0
32,"Piso en venta en Calle de Victoriano Pérez Vidal, 28",Salceda de Caselas,116500,85,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,0,No tiene,0,0,0
33,Piso en venta en Centro,Vilagarcía de Arousa,115000,129,4.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,0,0,0,Gas natural,0,0,0
34,"Piso en venta en Calle de Urzáiz, 109, cerca de Calle de Pizarro",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),105000,115,4.0,1.0,Planta: 2ª,En buen estado,0,0,1,0,No tiene,0,0,0
35,Piso en venta en Vigo,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),225000,100,3.0,2.0,Planta: 3ª,En buen estado,60.00 euros.,1,1,0,Gas individual,0,0,1
36,Piso en venta en Sanxenxo,Sanxenxo,195000,70,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,1
37,Piso en venta en Povisa,O Castro (Distrito Casco Urbano. Vigo),285000,91,3.0,2.0,Planta: Bajo,En buen estado,0,0,0,0,No tiene,1,0,0
38,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de Paraguay",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),320000,140,4.0,2.0,Planta: 2ª,En buen estado,150.00 euros. agua fria incluida,1,1,1,Gasóleo individual,1,0,0
39,Apartamento en venta en Medico Ballina,O Burgo-Campus Universitario (Pontevedra Capital),126000,67,2.0,1.0,Planta: 2ª,En buen estado,Entre 20 y 40€,1,0,1,Gas natural,1,0,0
40,Piso en venta en Castrelos-Balaídos-Miñoca,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),218000,100,3.0,2.0,Planta: 9ª,En buen estado,70.00 euros. sin consumos incluidos,1,0,0,Gas individual,1,0,0
41,"Piso en venta en Avenida de Balaidos, cerca de Camino de Espedrigada",A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),196000,100,3.0,2.0,Planta: 1ª,A estrenar,Entre 40 y 60€,1,0,1,No tiene,1,0,0
42,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,140000,130,4.0,2.0,Planta: 3ª,En buen estado,55€,1,0,1,Central,1,1,0
43,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,133000,70,2.0,1.0,Planta: 2ª,En buen estado,0,1,0,1,Gas natural,1,0,0
44,Piso en venta en Sanxenxo,Sanxenxo,230000,94,2.0,2.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,1,1,0
45,"Piso en venta en Calle de Tomás Alonso, cerca de Calle de Ramón Soler",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),180000,95,4.0,2.0,Planta: 2ª,Reformado,Entre 60 y 80€,1,0,1,Eléctrica,0,0,0
46,Piso en venta en Avenida de Balaidos,Sardoma-Castrelos (Vigo),196000,100,3.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,No tiene,0,0,0
47,Piso en venta en Casablanca-Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),380000,110,3.0,2.0,Planta: 6ª,A estrenar,0,1,0,1,Gas individual,0,0,0
48,Piso en venta en Avenida de Rosalía de Castro,Ponteareas,129000,105,3.0,2.0,Planta: 4ª,En buen estado,Entre 40 y 60€,1,1,1,Gas natural,1,0,0
49,Piso en venta en Alcabre-Navia-Samil,Alcabre-Navia-Comesaña (Vigo),270000,102,3.0,2.0,Planta: 5ª,En buen estado,0,1,0,1,Gas individual,1,0,0
50,Piso en venta en Alameda,Centro-Echegaray (Pontevedra Capital),350000,135,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Eléctrica,1,0,1
51,Piso en venta en Avda. de Castelao,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),130000,42,1.0,1.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,0,0,1
52,Piso en venta en Plaza de Galicia,Centro-Echegaray (Pontevedra Capital),350000,150,4.0,3.0,Planta: 3ª,En buen estado,0,1,0,1,Gasóleo individual,1,0,0
53,Piso en venta en Calle del Trovador Xoán García de Guillade,Ponteareas,94000,100,3.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,1,0,Eléctrica,1,0,0
54,"Piso en venta en Calle Lg Monte [O]-Caldelas, nº 21",Paramos (Tui),60000,79,3.0,1.0,Planta: Bajo,En buen estado,0,1,0,0,Gas natural,1,0,0
55,Piso en venta en Rúa de Lugo,Salceda de Caselas,106320,98,2.0,2.0,Planta: 2ª,En buen estado,0,1,1,1,Gas natural,1,1,0
56,Piso en venta en Calle Rúa As Mimosas,Ponteareas,119600,93,3.0,2.0,Planta: 5ª,En buen estado,0,1,0,1,Gas natural,1,0,0
57,Piso en venta en Avda. de Camelias,Berbés-Peritos (Distrito Casco Urbano. Vigo),214000,100,4.0,2.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,1,1,0
58,Piso en venta en Calle del Arenal,Centro-Areal (Distrito Casco Urbano. Vigo),265000,141,4.0,2.0,Planta: 2ª,Reformado,130,0,0,1,No tiene,0,0,1
59,Piso en venta en Calle del Xogo de la Ola,O Porriño,99000,100,3.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,0,0,0,No tiene,1,1,0
60,Piso en venta en Carretera de Redondela,Teis (Vigo),155000,61,2.0,2.0,Planta: 1ª,A estrenar,0,1,0,1,Gas natural,1,0,0
61,Piso en venta en Castrelos-Balaídos-Miñoca,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),193000,80,3.0,2.0,Planta: 6ª,En buen estado,70.00 euros. agua caliente,1,0,0,Gas individual,1,0,0
62,"Piso en venta en Calle Progreso, cerca de Calle Sanxenxo",Sanxenxo,124600,86,1.0,1.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,1,0,0
63,Piso en venta en Rúa do Miradoiro,A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),320000,123,4.0,2.0,Planta: 1ª,En buen estado,70 euros mes,1,0,1,Gas natural,1,1,1
64,"Piso en venta en Calle Lugar Monte-Caldelas, nº 21",Guillarey (Tui),60000,75,3.0,1.0,,En buen estado,0,1,0,0,No tiene,1,0,0
65,Piso en venta en Traviesas,Praza da Independencia (Distrito Casco Urbano. Vigo),320000,140,4.0,2.0,Planta: Bajo,En buen estado,0,1,1,1,No tiene,0,0,1
66,"Piso en venta en Calle de Urzáiz, cerca de Calle de Magallanes",Centro-Areal (Distrito Casco Urbano. Vigo),395000,157,4.0,3.0,Planta: 5ª,En buen estado,145 euros. incluye mínim agua calit. y calefaccion,1,0,1,Central,0,0,0
67,"Piso en venta en Avenida de la Florida, cerca de Calle de Manuel de Castro",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),230000,107,4.0,2.0,Planta: 1ª,En buen estado,0,0,0,1,Eléctrica,1,0,0
68,"Apartamento en venta en Avenida de Médico Ballina, cerca de Rúa Médico Ballina",O Burgo-Campus Universitario (Pontevedra Capital),132500,93,2.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,Central,1,1,0
69,"Piso en venta en Calle de Tomás Alonso, cerca de Camino del Chouzo",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),181500,93,4.0,2.0,Planta: 2ª,Reformado,0,1,0,1,Eléctrica,0,0,0
70,"Piso en venta en Calle de Ecuador, cerca de Calle Cuba",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),380000,114,3.0,3.0,Planta: 5ª,En buen estado,0,0,0,1,Calefacción individual,0,0,1
71,Piso en venta en Avenida de Buenos Aires,O Porriño,148000,92,3.0,1.0,Planta: 2ª,En buen estado,0,1,0,1,Eléctrica,1,0,0
72,Piso en venta en Calle de la Paz,Berbés-Peritos (Distrito Casco Urbano. Vigo),330000,361,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,No tiene,1,1,0
73,"Piso en venta en Avenida de Balaidos, cerca de Camino de Espedrigada",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),196000,90,3.0,2.0,Planta: 1ª,A estrenar,0,1,0,1,No tiene,1,0,0
74,Piso en venta en Moraña,Moraña,64600,51,1.0,1.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
75,"Piso en venta en Calle de Juan Bautista Andrade, cerca de Calle de la Torre",O Burgo-Campus Universitario (Pontevedra Capital),110000,90,3.0,2.0,Planta: 4ª,En buen estado,Entre 20 y 40€,1,0,0,Central,0,0,1
76,Piso en venta en Calle Santo Antoniño,Barro,85000,55,2.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,No tiene,1,0,0
77,Piso en venta en Rúa Cuba,Baiona,230000,78,2.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,1,0
78,"Piso en venta en Avenida de Balaidos, 13, cerca de Camino de Espedrigada",A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),196000,115,3.0,2.0,Planta: 1ª,A estrenar,Entre 40 y 60€,1,0,1,No tiene,0,1,1
79,Piso en venta en Avenida Peinador,Mos (Santa Eulalia),155000,91,3.0,2.0,Planta: 2ª,En buen estado,Entre 60 y 80€,1,0,1,No tiene,1,0,0
80,Piso en venta en Calle Sauce,Ponteareas,100000,120,4.0,2.0,,En buen estado,Entre 80 y 100€,1,0,0,Gasoil,1,0,0
81,"Piso en venta en Calle del Fotógrafo Xosé Gil, 24",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),250000,92,3.0,3.0,Planta: 2ª,En buen estado,Entre 80 y 100€,1,0,1,Gasoil,1,0,0
82,Piso en venta en Calle de los Castiñeiros,Sanxenxo,210000,70,2.0,2.0,,En buen estado,0,0,0,0,No tiene,0,0,0
83,"Piso en venta en Avenida de Uruguai, 33",Centro-Echegaray (Pontevedra Capital),285000,119,3.0,2.0,,En buen estado,0,0,0,1,No tiene,1,0,0
84,Piso en venta en Avenida de Manuel del Palacio,Campo da Torre-Mollabao (Pontevedra Capital),238000,119,4.0,2.0,Planta: 6ª,En buen estado,0,0,0,1,Central,0,1,0
85,Piso en venta en Calle del Muiño,Redondela,129000,70,3.0,1.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Eléctrica,1,0,0
86,"Piso en venta en Calle de Bolivia, 47",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),175000,81,2.0,1.0,Planta: 1ª,En buen estado,Más de 100€,0,0,0,Central,0,0,0
87,"Apartamento en venta en Avenida de Lugo, 5, cerca de Calle de Faustino Santalices",A Seca-Os Salgueriños (Pontevedra Capital),190000,90,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Central,0,0,1
88,Piso en venta en Calle Senen Sobral,Marín,195000,280,7.0,3.0,Planta: Principal,En buen estado,0,1,0,0,No tiene,1,0,0
89,"Piso en venta en Avenida das Camelias, cerca de Rúa Sergio Saborido Cid",Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),175000,102,3.0,2.0,,A reformar,70.00 euros.,0,0,1,"Si, sin especificar",0,0,0
90,Piso en venta en Calle de la Devesa Santa Tegra,Teis (Vigo),95000,80,2.0,1.0,Planta: 1ª,A reformar,0,1,0,0,"Si, sin especificar",0,0,0
91,Piso en venta en Calle del Trovador Xoán García de Guillade,Ponteareas,90000,100,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,Central,0,0,0
92,"Piso en venta en Calle de Urzáiz, cerca de Calle de María Berdiales",Centro-Areal (Distrito Casco Urbano. Vigo),285000,127,3.0,2.0,Planta: 10ª,En buen estado,52.00 euros.,1,0,1,Eléctrica,0,0,0
93,Piso en venta en Calle del Carrizo,Casablanca-Calvario (Distrito Casco Urbano. Vigo),189000,95,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Central,0,0,1
94,"Piso en venta en Calle de García Olloqui, 3",Centro-Areal (Distrito Casco Urbano. Vigo),589000,120,2.0,2.0,Planta: 3ª,A estrenar,0,1,0,1,Suelo radiante,1,0,0
95,Piso en venta en Calle del Arenal,Centro-Areal (Distrito Casco Urbano. Vigo),237000,80,2.0,1.0,Planta: 8ª,Reformado,Entre 40 y 60€,1,0,1,No tiene,0,1,1
96,Piso en venta en Calle de María Auxiliadora,Centro-Areal (Distrito Casco Urbano. Vigo),265000,84,2.0,1.0,Planta: 4ª,En buen estado,0,1,0,1,No tiene,0,0,1
97,Piso en venta en Calle Xan Xose,Centro-Echegaray (Pontevedra Capital),660000,220,4.0,3.0,Planta: 2ª,En buen estado,0,1,0,1,Central,1,1,0
98,"Piso en venta en Calle de Victoriano Pérez Vidal, 44",Salceda de Caselas,97000,166,3.0,2.0,Planta: 2ª,En buen estado,0,1,1,0,Eléctrica,0,1,0
99,"Piso en venta en Avenida de Cambados, cerca de Calle de Bouza de Abajo",Vilagarcía de Arousa,180000,112,3.0,2.0,Planta: 9ª,En buen estado,0,1,0,0,Gas individual,1,0,0
100,Piso en venta en Calle Po-400,Salvaterra de Miño,139000,120,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,0,Central,0,0,0
101,Piso en venta en Avenida de Buenos Aires,O Porriño,129000,89,2.0,1.0,Planta: 3ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,1,0
102,Piso en venta en Ramon Nieto,Lavadores (Vigo),99500,80,2.0,1.0,Planta: 2ª,En buen estado,Entre 20 y 40€,1,0,0,No tiene,0,0,0
103,"Piso en venta en Avenida de Joselín, 6",Baiona,300000,107,4.0,2.0,Planta: 3ª,En buen estado,Entre 60 y 80€,1,1,1,No tiene,1,0,0
104,Apartamento en venta en Calle de Pedaporta,Combarro (San Roque). Municipio de Poio,170000,97,2.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,No tiene,0,0,1
105,Piso en venta en Avenida de Manuel del Palacio,Campo da Torre-Mollabao (Pontevedra Capital),119500,80,2.0,1.0,Planta: 6ª,En buen estado,0,0,0,0,No tiene,0,1,0
106,Piso en venta en Calle Rua Dos Carballos,Ponteareas,117500,100,3.0,2.0,Planta: 5ª,En buen estado,Entre 40 y 60€,1,1,1,Eléctrica,1,1,0
107,"Piso en venta en Avenida de Castelao, 9",Parroquias Rurales (Pontevedra Capital),145000,72,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Gas propano,0,0,0
108,Piso en venta en Calle Rúa Das Gándaras,Salceda de Caselas,95000,68,2.0,1.0,Planta: 2ª,En buen estado,56.00 euros.,1,0,0,Eléctrica,1,0,0
109,"Piso en venta en Estrada das Sinas, 10",Caleiro (Villamayor). Municipio de Vilanova de Arousa,146000,102,3.0,1.0,Planta: 1ª,En buen estado,0,1,1,0,Eléctrica,0,0,1
110,"Piso en venta en Calle Jaime Janer, 171, cerca de Calle San Pedro",Marín (Escuela Naval Militar),128200,120,2.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,No tiene,0,0,1
111,"Piso en venta en Travesía de Vigo, cerca de Calle Vía Norte",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),190000,120,4.0,,,En buen estado,Entre 40 y 60€,0,0,1,No tiene,1,1,0
112,"Piso en venta en Calle Aragón, cerca de Calle de Redomeira",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),170000,87,2.0,1.0,Planta: 1ª,En buen estado,20.00 euros.,1,1,0,Eléctrica,0,0,1
113,Piso en venta en Torrecedeira,Berbés-Peritos (Distrito Casco Urbano. Vigo),220000,112,3.0,1.0,Planta: 12ª,En buen estado,0,0,0,1,No tiene,0,1,0
114,"Piso en venta en Calle Pintor Maxide, nº 4",Cambados,150000,100,3.0,2.0,Planta: Principal,A estrenar,0,1,1,1,Eléctrica,1,1,0
115,Piso en venta en Calle de Ecuador,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),250000,110,2.0,2.0,Planta: 5ª,En buen estado,60.00 euros.,1,1,1,Gas individual,0,0,0
116,"Piso en venta en Rúa de Naval, 20",Isla de Arosa (A Illa de Arousa),120000,50,1.0,1.0,Planta: 2ª,En buen estado,0,1,0,1,Eléctrica,1,0,0
117,"Piso en venta en Calle Aragón, cerca de Calle San Juan",Casablanca-Calvario (Distrito Casco Urbano. Vigo),155000,50,1.0,1.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,No tiene,1,1,0
118,Piso en venta en Calle de la Condesa de la Casa Barcena,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),280000,120,3.0,2.0,Planta: 1ª,En buen estado,110€,1,1,1,Eléctrica,1,1,0
119,Piso en venta en Pontevedra,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),235000,112,3.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,Gas natural,1,1,0
120,"Piso en venta en Calle Cayoffa, Tenerife",A Estrada,210000,85,2.0,1.0,Planta: Principal,A estrenar,0,1,1,0,No tiene,1,1,0
121,Apartamento en venta en Campelo,Poio (San Juan-Resto Parroquia),149000,112,2.0,2.0,Planta: 1ª,En buen estado,0,0,0,1,Gas natural,1,0,0
122,Piso en venta en Calle Otero Pedrayo,Lalín,80000,104,3.0,2.0,,En buen estado,0,1,0,1,No tiene,0,1,0
123,Piso en venta en Centro,Vilagarcía de Arousa,220000,122,3.0,2.0,Planta: 1ª,En buen estado,Entre 60 y 80€,1,1,1,No tiene,0,0,1
124,Piso en venta en Calle Kayrel,Bueu (Casco Urbano),170000,128,2.0,2.0,Planta: 2ª,En buen estado,Entre 20 y 40€,1,0,1,Gas ciudad,1,0,0
125,"Piso en venta en Calle 5º Transversal Oliva, nº 5",A Guarda,65000,109,3.0,2.0,,A reformar,Entre 20 y 40€,0,1,0,No tiene,0,0,0
126,Piso en venta en Guarda (A),A Guarda,104000,72,2.0,1.0,Planta: 3ª,En buen estado,35.00 euros.,0,0,1,"Si, sin especificar",0,0,0
127,"Piso en venta en Calle de la Estación, 15",Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),245000,144,3.0,2.0,,En buen estado,Entre 10 y 20€,1,0,0,No tiene,0,0,0
128,Piso en venta en Castrelos-Balaídos-Miñoca,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),196000,115,3.0,2.0,,En buen estado,60.00 euros.,1,0,1,Eléctrica,0,0,0
129,Piso en venta en Pasarón,O Burgo-Campus Universitario (Pontevedra Capital),185000,101,3.0,2.0,Planta: 3ª,En buen estado,50.00 euros.,1,1,0,"Si, sin especificar",1,0,0
130,Piso en venta en Calle del Couso,Calvario (O Rosal),110000,85,3.0,2.0,Planta: 2ª,En buen estado,35.00 euros.,1,1,1,Eléctrica,1,0,0
131,Piso en venta en Calle de Blanco Amor,Vilagarcía de Arousa,155000,100,3.0,2.0,Planta: 1ª,En buen estado,63.00 euros.,1,0,1,No tiene,1,1,0
132,Piso en venta en Lalín,Lalín,64000,83,3.0,1.0,Planta: 2ª,En buen estado,0,1,1,1,No tiene,0,0,1
133,Piso en venta en Casablanca-Corte Inglés,Casablanca-Calvario (Distrito Casco Urbano. Vigo),365000,95,3.0,2.0,Planta: 1ª,En buen estado,"110.00 euros. calefacción y agua caliente varía dependiendo verano, invierno.",1,0,0,Gas individual,1,0,0
134,Apartamento en venta en Arenal-Centro,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),165000,35,1.0,1.0,Planta: 3ª,En buen estado,45.00 euros.,1,0,1,Gas individual,0,0,0
135,"Piso en venta en Calle de la República Argentina, 6",Centro-Areal (Distrito Casco Urbano. Vigo),197900,80,2.0,2.0,Planta: 5ª,En buen estado,Más de 100€,1,1,1,Central,1,0,0
136,"Piso en venta en Avenida de Fragoso, cerca de Avenida de Balaidos",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),165000,116,4.0,2.0,Planta: 3ª,En buen estado,126 euros mes,1,1,1,Central,0,0,1
137,Piso en venta en A Salgueira-O Castaño,A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),399000,233,7.0,4.0,Planta: 8ª,Reformado,Entre 60 y 80€,1,0,1,Gas natural,1,1,0
138,"Piso en venta en Calle B, cerca de Rúa Pintor Laxeiro",Lalín,66000,71,2.0,1.0,Planta: 3ª,En buen estado,0,0,0,1,No tiene,0,0,0
139,Piso en venta en Salvaterra de Miño,Salvaterra de Miño,107000,74,2.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Propano,1,0,0
140,Piso en venta en Guarda (A),A Guarda,165000,73,2.0,1.0,Planta: 1ª,En buen estado,36.00 euros.,1,1,1,Eléctrica,1,0,0
141,Piso en venta en Avenida del Outeiro,Poio (San Juan-Albar),160000,96,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,No tiene,1,0,0
142,Piso en venta en Calle Lugar Revel,Noalla (Santo Estevo). Municipio de Sanxenxo,155000,96,3.0,2.0,Planta: 2ª,En buen estado,0,1,1,1,No tiene,1,0,0
143,Piso en venta en Paseo de la Praia de Silgar,Sanxenxo,340000,131,4.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,No tiene,1,1,0
144,Apartamento en venta en Mondariz-Balneario,Mondariz-Balneario,75000,50,1.0,1.0,,En buen estado,0,1,0,1,Propano,1,0,0
145,Piso en venta en Calle Progreso,Sanxenxo,235000,86,2.0,2.0,,En buen estado,0,1,1,1,No tiene,1,1,0
146,Piso en venta en Carretera Gondar,Noalla (Santo Estevo). Municipio de Sanxenxo,85000,45,1.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,No tiene,1,0,0
147,"Piso en venta en Avenida de Vigo, cerca de Calle del Veintisiete",A Estrada,115000,93,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,0,0
148,Piso en venta en Rúa Vigo,Sanxenxo,285000,100,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,No tiene,1,1,0
