,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
308,Piso en venta en Calle de Pedro Alvarado,Teis (Vigo),150000,41.0,1.0,,,En buen estado,0,0,0,0,Gas natural,1,0,0
309,Piso en venta en Travesía del Pumariño,Marín,110000,112.0,5.0,2.0,,En buen estado,Entre 20 y 40€,0,0,0,No tiene,0,0,0
310,Piso en venta en Salvaterra de Miño,Salvaterra de Miño,120000,120.0,3.0,2.0,,En buen estado,0,1,0,1,Central,0,1,0
311,Piso en venta en Calle de Gerona,Praza da Independencia (Distrito Casco Urbano. Vigo),380000,152.0,4.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
312,Piso en venta en Calle de la Gaviota,Casablanca-Calvario (Distrito Casco Urbano. Vigo),170000,110.0,2.0,1.0,Planta: 5ª,En buen estado,75 €,1,1,1,Gas natural,1,0,0
313,Piso en venta en Calle de Menéndez Pelayo,Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),165000,67.0,2.0,1.0,Planta: 1ª,En buen estado,"110.00 euros. agua fria, caliente, calefacción",1,1,1,Gasóleo colectivo,0,0,0
314,"Piso en venta en Calle de Antón Losada Diéguez, 1",A Estrada,98000,80.0,3.0,2.0,Planta: 3ª,En buen estado,0,0,0,1,No tiene,0,1,1
315,Piso en venta en Calle Pintor Lugrís,Praza da Independencia (Distrito Casco Urbano. Vigo),235000,114.0,4.0,2.0,,En buen estado,Entre 40 y 60€,0,0,1,No tiene,1,1,0
316,Piso en venta en Plaza de Galicia,Campo da Torre-Mollabao (Pontevedra Capital),260000,130.0,4.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
317,"Piso en venta en Camino Fianteira, nº 12 A",Sanxenxo,168000,92.0,2.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,No tiene,1,1,0
318,Piso en venta en Areal -Rosalía de Castro,Centro-Areal (Distrito Casco Urbano. Vigo),1165500,273.0,4.0,5.0,Planta: 4ª,En buen estado,0,0,0,1,No tiene,1,1,0
319,Piso en venta en Calle de Rosalía de Castro,Centro-Areal (Distrito Casco Urbano. Vigo),225000,78.0,2.0,1.0,,En buen estado,0,0,0,1,No tiene,0,0,1
320,Piso en venta en Centro,Redondela,120000,75.0,2.0,1.0,Planta: 1ª,En buen estado,0,1,0,0,Eléctrica,0,0,0
321,Piso en venta en Calle de Bolivia,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),390000,143.0,3.0,2.0,Planta: 4ª,En buen estado,130.00 euros. agua fria,1,0,1,Gasóleo colectivo,1,0,0
322,Piso en venta en Rúa de Antón Fraguas,A Seca-Os Salgueriños (Pontevedra Capital),345000,110.0,4.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
323,Piso en venta en As Travesas-Balaídos,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),196000,100.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Central,0,0,0
324,Piso en venta en Calle Calle Ernestina Otero Sestelo,Zona Praza de Barcelos (Pontevedra Capital),213000,95.0,2.0,2.0,Planta: 4ª,A estrenar,0,0,0,0,No tiene,0,0,0
325,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de las Illas Canarias",O Castro (Distrito Casco Urbano. Vigo),300000,92.0,3.0,2.0,Planta: 10ª,En buen estado,34.00 euros.,0,0,1,No tiene,0,1,1
326,Piso en venta en Traviesas-Plaza Independencia,Praza da Industria (Distrito Casco Urbano. Vigo),110000,95.0,3.0,2.0,Planta: 3ª,En buen estado,120.00 euros.,0,1,0,"Si, sin especificar",0,1,1
327,"Piso en venta en Avenida del Outeiro, 20",Poio (San Juan-Albar),150000,95.0,2.0,2.0,Planta: 4ª,En buen estado,0,1,1,0,No tiene,1,1,0
328,Piso en venta en Sanxenxo Playa,Sanxenxo,175000,60.0,2.0,1.0,Planta: Bajo,En buen estado,0,1,1,0,No tiene,1,0,0
329,Piso en venta en Calle Calle Ernestina Otero Sestelo,Zona Praza de Barcelos (Pontevedra Capital),223000,125.0,3.0,2.0,Planta: 2ª,A estrenar,0,0,0,0,No tiene,0,1,0
330,"Piso en venta en Calle de Calvo Sotelo, cerca de Plaza de Galicia",A Estrada,115000,114.0,3.0,2.0,Planta: 3ª,Reformado,Entre 10 y 20€,1,0,0,Gas natural,0,1,0
331,Piso en venta en Carretera de Balsa,Matamá-Beade-Bembrive-Valadares-Zamáns (Vigo),150000,85.0,3.0,1.0,,A reformar,0,1,0,0,No tiene,1,0,1
332,Piso en venta en Centro,Sanxenxo,290000,104.0,3.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Eléctrica,1,1,0
333,Piso en venta en Alameda,Centro-Areal (Distrito Casco Urbano. Vigo),495000,120.0,3.0,2.0,Planta: 1ª,A estrenar,0,1,1,1,Suelo radiante,1,0,0
334,"Piso en venta en Avenida de Castrelos, cerca de Camino de Telleira",Sardoma-Castrelos (Vigo),147000,52.0,2.0,1.0,Planta: 1ª,En buen estado,54.00 euros.,1,0,1,Gasóleo colectivo,1,0,0
335,"Piso en venta en Calle de Ecuador, cerca de Avenida de la Gran Vía",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),348000,110.0,3.0,2.0,Planta: 1ª,A estrenar,0,1,1,1,"Si, sin especificar",0,0,0
336,Piso en venta en Sanxenxo,Sanxenxo,148000,87.0,3.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,1,0,Eléctrica,0,1,0
337,Piso en venta en Camelias-Gran Vía-Hispanidad,Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),329000,143.0,3.0,2.0,Planta: 1ª,En buen estado,153.00 euros.,1,0,0,Gasóleo colectivo,1,0,0
338,Piso en venta en Ponteareas,Ponteareas,130000,100.0,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Central,0,1,0
339,Piso en venta en Calle de Atranco,Coiro (San Salvador). Municipio de Cangas,198000,121.0,3.0,2.0,Planta: 1ª,En buen estado,Entre 20 y 40€,1,0,1,Eléctrica,1,1,0
340,Piso en venta en Avenida de Fragoso,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),175000,110.0,4.0,2.0,Planta: 3ª,En buen estado,65.00 euros.,1,1,1,Gas individual,0,0,0
341,"Piso en venta en Calle de Barcelona, cerca de Calle de Sevilla",O Castro (Distrito Casco Urbano. Vigo),176000,80.0,3.0,1.0,Planta: 1ª,En buen estado,50.00 euros.,1,0,1,"Si, sin especificar",0,0,0
342,Piso en venta en Calle Monte Caldelas,Guillarey (Tui),60000,76.0,3.0,1.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,0,0,0
343,"Piso en venta en Carretera de la Lanzada, 19",Adina (Santa María). Municipio de Sanxenxo,169000,76.0,2.0,1.0,Planta: 4ª,En buen estado,Entre 20 y 40€,1,0,0,No tiene,1,0,0
344,Piso en venta en Calle del Doctor Darío Durán Gómez,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),256000,110.0,3.0,1.0,,En buen estado,0,0,0,1,No tiene,1,0,0
345,Piso en venta en Calle Barreiros,Cangas,145000,70.0,2.0,1.0,,En buen estado,Entre 40 y 60€,1,0,1,No tiene,0,1,1
346,Piso en venta en Pasarón,O Burgo-Campus Universitario (Pontevedra Capital),173000,81.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Gas individual,1,0,0
347,Piso en venta en Calle del Gaiteiro de Soutelo,A Seca-Os Salgueriños (Pontevedra Capital),135000,86.0,2.0,1.0,,En buen estado,Entre 40 y 60€,0,0,1,Gasoil,0,1,1
348,"Piso en venta en Calle Fonte de Ons, 4 (Noalla)",Sanxenxo,165000,110.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,1,1
349,Apartamento en venta en Calle Avenida Alfonso R. Castelao,Arcade (Soutomaior),160000,82.0,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Central,0,0,1
350,Piso en venta en Calle del Busto de Abajo,Marín,125000,100.0,3.0,2.0,Planta: 3ª,En buen estado,50.00 euros.,0,0,1,Gasóleo individual,0,0,1
351,"Piso en venta en Avenida de Benito Vigo, cerca de Calle de Manuel García Barros",A Estrada,115000,105.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,1,1,Eléctrica,1,0,0
352,Piso en venta en Calle Puente,Lalín,84000,75.0,2.0,1.0,Planta: 1ª,A estrenar,0,1,1,1,Gas natural,1,1,0
353,Piso en venta en Calle Arturo Fontán Bouzas,Portonovo (Sanxenxo),160000,81.0,3.0,1.0,Planta: 2ª,Reformado,0,1,0,0,Eléctrica,1,1,0
354,Piso en venta en Avenida del Doctor Tourón,Vilagarcía de Arousa,150000,120.0,4.0,2.0,Planta: 2ª,En buen estado,Entre 80 y 100€,1,1,1,Central,1,0,0
355,Piso en venta en Calle del Couto,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),360000,112.0,3.0,2.0,Planta: 2ª,En buen estado,91.00 euros.,1,1,1,Gasóleo colectivo,1,0,1
356,Piso en venta en Balaidos,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),165000,104.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,No tiene,0,1,0
357,Piso en venta en Calle Revolta Noalla,Sanxenxo,153000,122.0,2.0,2.0,Planta: 3ª,En buen estado,0,1,1,1,No tiene,1,1,0
358,Piso en venta en Calle Puerta del Sol,Baiona,279000,90.0,3.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,1,0,Eléctrica,1,0,0
359,Piso en venta en Calle Calle Ernestina Otero Sestelo S/N,Zona Praza de Barcelos (Pontevedra Capital),337000,155.0,4.0,2.0,Planta: 6ª,A estrenar,0,0,0,0,No tiene,0,1,1
360,Piso en venta en Centro,Teis (Vigo),120000,103.0,4.0,1.0,Planta: 2ª,En buen estado,0,0,0,0,No tiene,0,0,0
361,Piso en venta en Calle Julia Minguillon,Centro-Areal (Distrito Casco Urbano. Vigo),297500,70.0,2.0,1.0,Planta: 9ª,Reformado,Más de 100€,1,0,1,Central,1,0,0
362,Piso en venta en Calle del Canario,Casablanca-Calvario (Distrito Casco Urbano. Vigo),200000,107.0,3.0,2.0,Planta: 1ª,En buen estado,70.00 euros.,1,0,1,Gas individual,1,0,0
363,Piso en venta en Calle del Calvario,Arcade (Soutomaior),83000,56.0,1.0,1.0,Planta: 3ª,En buen estado,0,1,0,1,No tiene,0,0,0
364,"Piso en venta en Paseo de la Praia de Silgar, cerca de Calle de Rosalía de Castro",Sanxenxo,525000,136.0,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,1,0
365,Piso en venta en Zona Plaza de Barcelos,Zona Praza de Barcelos (Pontevedra Capital),245000,136.0,5.0,2.0,Planta: 4ª,En buen estado,0,0,0,1,No tiene,0,0,1
366,Piso en venta en Casablanca-Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),350000,100.0,2.0,2.0,Planta: 4ª,En buen estado,50.00 euros. limpieza y mantenimiento ascensor,1,0,1,Gas individual,0,0,0
367,"Piso en venta en Calle Raxo, 2 (Leopoldo Novoa)",Poio (San Juan-Albar),185000,95.0,3.0,2.0,,En buen estado,0,1,0,1,No tiene,0,1,1
368,Piso en venta en Calle Vía Norte,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),450000,140.0,4.0,2.0,,En buen estado,0,0,0,1,No tiene,0,1,0
369,"Piso en venta en Calle de Tomás Alonso, cerca de Camino de la Seara",Praza da Industria (Distrito Casco Urbano. Vigo),181500,93.0,4.0,2.0,Planta: 2ª,En buen estado,66.00 euros.,1,0,1,Eléctrica,0,0,0
370,Piso en venta en Calle de Ricardo Santos,Sanxenxo,269000,98.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,1
371,Piso en venta en Portonovo,Portonovo (Sanxenxo),225000,115.0,3.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,1,0,No tiene,1,1,0
372,Piso en venta en Avenida de la Toja,Poio (San Juan-Albar),162000,90.0,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,0,1
373,Piso en venta en Calle Joaquin Fdez,Salceda de Caselas,94000,68.0,2.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
374,Piso en venta en Calle Puente,Lalín,124000,95.0,3.0,2.0,Planta: 1ª,A estrenar,0,1,1,1,Gas natural,1,1,0
375,Piso en venta en Calle de Nogueira,Casablanca-Calvario (Distrito Casco Urbano. Vigo),130000,80.0,3.0,1.0,,En buen estado,0,0,0,0,No tiene,0,0,0
376,Piso en venta en Centro,Cangas,35000,92.0,3.0,1.0,Planta: 4ª,En buen estado,0,0,0,0,"Si, sin especificar",0,0,0
377,Piso en venta en Cangas,Cangas,140000,60.0,2.0,1.0,,En buen estado,0,1,0,1,No tiene,0,0,0
378,Piso en venta en Calle del Padre Feijóo,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),245000,109.0,4.0,2.0,Planta: 1ª,En buen estado,150.00 euros. agua fria caliente y calefaccion,0,1,1,Gasóleo colectivo,1,0,0
379,Piso en venta en Calle de San Roque,Vilagarcía de Arousa,75000,69.0,3.0,1.0,Planta: 1ª,En buen estado,Entre 10 y 20€,1,1,0,Eléctrica,0,0,0
380,"Piso en venta en Avenida de los Loureiros, cerca de Calle Prolongación Avenida de Pontevedra",Adina (Santa María). Municipio de Sanxenxo,159000,69.0,2.0,2.0,,En buen estado,Entre 20 y 40€,1,0,1,No tiene,1,0,0
381,"Piso en venta en Calle de los Loureiros, 1",Portonovo (Sanxenxo),169900,139.0,4.0,2.0,Planta: 1ª,En buen estado,0,0,1,0,No tiene,0,0,1
382,Piso en venta en Parroquias Rurales,Parroquias Rurales (Pontevedra Capital),120000,85.0,3.0,1.0,,En buen estado,0,1,0,0,No tiene,0,0,0
383,Apartamento en venta en Ponteareas,Ponteareas,85000,70.0,2.0,1.0,Planta: 2ª,En buen estado,0,1,0,1,Central,0,0,1
384,Piso en venta en Tui,Tui,155000,96.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,Gas individual,1,0,0
385,Piso en venta en Calle de Eduardo Iglesias,Centro-Areal (Distrito Casco Urbano. Vigo),620000,280.0,7.0,3.0,,En buen estado,Más de 100€,0,0,1,No tiene,1,1,0
386,"Piso en venta en Avenida das Camelias, cerca de Calle de Pi i Margall",Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),200000,96.0,2.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
387,Piso en venta en Calle de Bolivia,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),460000,179.0,5.0,3.0,Planta: 1ª,En buen estado,200.00 euros.,1,1,1,Gasóleo colectivo,1,0,0
388,Piso en venta en Portonovo,Portonovo (Sanxenxo),200000,140.0,4.0,2.0,Planta: 4ª,En buen estado,0,1,1,1,No tiene,0,1,0
389,Piso en venta en Calle de Otero Pedrayo,Gondomar,195000,86.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,Gasóleo individual,1,0,0
390,Piso en venta en Avenida del Covelo,Poio (San Juan-Albar),140000,107.0,2.0,1.0,,En buen estado,0,1,0,1,Individual,0,1,1
391,Piso en venta en Avenida La Guardia,A Guarda,66000,70.0,2.0,1.0,Planta: 2ª,En buen estado,0,1,1,0,Eléctrica,0,0,0
392,"Piso en venta en Calle San Blas - Salcedo, nº 18",Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),180000,132.0,4.0,2.0,Planta: 2ª,En buen estado,0,0,1,0,Central,0,0,1
393,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de Zamora",O Castro (Distrito Casco Urbano. Vigo),400000,115.0,4.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
394,Piso en venta en Aldán,Cangas,175000,106.0,3.0,2.0,,En buen estado,0,1,0,1,No tiene,1,0,0
395,Piso en venta en Sanxenxo,Sanxenxo,290000,100.0,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,1,1
396,Piso en venta en Calle de Moaña,Coia (Distrito Casco Urbano. Vigo),85000,72.0,3.0,1.0,Planta: 3ª,A reformar,30.00 euros.,0,0,0,Gas individual,0,0,1
397,Piso en venta en Sanxenxo,Sanxenxo,180000,60.0,2.0,1.0,,En buen estado,0,1,0,1,Individual,0,0,1
398,Piso en venta en Calle de Paraguay,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),125000,100.0,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,1,0
399,Piso en venta en Cangas,Cangas,180000,75.0,2.0,2.0,,En buen estado,0,0,0,1,No tiene,0,0,0
400,Piso en venta en Mos,Mos (Santa Eulalia),155000,85.0,3.0,2.0,Planta: 2ª,A estrenar,0,1,0,1,Gas individual,1,0,0
401,Piso en venta en Calle Arturo Fontan Bouzas,Portonovo (Sanxenxo),160000,81.0,3.0,1.0,Planta: 2ª,En buen estado,0,0,0,0,No tiene,1,0,0
402,"Piso en venta en Calle de la Curtidoira, 5",Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),240000,94.0,3.0,2.0,Planta: 4ª,En buen estado,0,0,0,1,Gas,0,0,1
403,Piso en venta en Calle de Paulino Freire,Bouzas (Distrito Casco Urbano. Vigo),450000,193.0,5.0,3.0,,En buen estado,0,0,0,1,Gas natural,1,0,0
404,Piso en venta en Urzaiz-Calvario,Casablanca-Calvario (Distrito Casco Urbano. Vigo),270000,120.0,3.0,2.0,Planta: 5ª,En buen estado,69.00 euros.,1,0,0,Gasóleo colectivo,1,0,1
405,Piso en venta en Calle Balea (San Vicente Do Mar),O Grove (Casco Urbano),135000,65.0,2.0,1.0,Planta: 2ª,En buen estado,0,1,0,0,No tiene,1,0,0
406,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de Ecuador",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),190000,156.0,3.0,1.0,,A reformar,0,0,0,1,Gasóleo colectivo,0,0,1
407,"Piso en venta en Calle Aragón, cerca de Calle de Redomeira",Casablanca-Calvario (Distrito Casco Urbano. Vigo),145000,60.0,1.0,1.0,Planta: 6ª,En buen estado,55€,1,1,1,Eléctrica,1,0,0
408,Piso en venta en Avenida del Doctor Tourón,Vilagarcía de Arousa,130000,100.0,4.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,1,1,Gas natural,0,0,0
409,"Piso en venta en Rúa de Castelao, cerca de Lugar de Confín",O Grove (Casco Urbano),153000,115.0,6.0,3.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,0,No tiene,1,1,0
410,Piso en venta en Rúa Cordón,O Burgo-Campus Universitario (Pontevedra Capital),185000,90.0,3.0,2.0,Planta: 3ª,A estrenar,0,1,1,1,Gas individual,1,1,1
411,Piso en venta en Calle Po-308 (As Pitas),Adina (Santa María). Municipio de Sanxenxo,156000,71.0,2.0,2.0,,En buen estado,0,1,0,0,No tiene,0,1,1
412,Piso en venta en Porriño (O),O Porriño,155000,90.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,Gas individual,1,0,0
413,Piso en venta en Gondomar,Gondomar,148000,62.0,2.0,1.0,Planta: 2ª,En buen estado,0,1,1,0,"Si, sin especificar",1,0,1
414,Piso en venta en Darbo (Santa María),Darbo (Santa María). Municipio de Cangas,117000,67.0,2.0,2.0,Planta: 2ª,En buen estado,0,0,0,1,No tiene,0,0,0
415,Piso en venta en Calle de San Salvador,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),599000,265.0,6.0,4.0,Planta: 7ª,En buen estado,220.00 euros. agua fria y calefacción,1,0,1,Gasóleo colectivo,1,0,0
416,Piso en venta en Marín,Marín,86000,112.0,3.0,2.0,Planta: 4ª,A reformar,0,0,0,0,No tiene,0,0,1
417,"Piso en venta en Calle Doutor Touriño Gamallo, nº 14",Marín,119000,90.0,3.0,2.0,,Reformado,Entre 10 y 20€,1,0,0,Eléctrica,0,0,0
418,Apartamento en venta en Avenida de Emilio Martínez Garrido,Casablanca-Calvario (Distrito Casco Urbano. Vigo),118900,42.0,1.0,1.0,Planta: 1ª,En buen estado,48.00 euros.,1,0,1,Eléctrica,0,0,0
419,"Piso en venta en Calle de Cambria, 3",A Seca-Os Salgueriños (Pontevedra Capital),149000,97.0,3.0,2.0,,En buen estado,Entre 20 y 40€,0,0,0,Gasoil,0,0,0
420,"Piso en venta en Calle de Cristo, cerca de Calle de la Cruz Branca",Casablanca-Calvario (Distrito Casco Urbano. Vigo),135000,50.0,1.0,1.0,,En buen estado,55.00 euros.,1,0,1,Gas individual,1,0,0
421,Piso en venta en Casco Antiguo,Centro-Echegaray (Pontevedra Capital),450000,225.0,5.0,3.0,Planta: 1ª,En buen estado,0,0,0,0,Gas natural,0,1,1
422,Piso en venta en Calle Vía Norte,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),300000,128.0,4.0,2.0,Planta: 6ª,En buen estado,160.00 euros. agua y calefaccion,1,1,1,Gasóleo colectivo,0,0,0
423,"Piso en venta en Travesía del Arenal, 3",Adina (Santa María). Municipio de Sanxenxo,290000,120.0,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,No tiene,1,0,0
424,"Piso en venta en Calle de Benito Corbal, 58",Zona Praza de Barcelos (Pontevedra Capital),245000,90.0,3.0,3.0,Planta: 4ª,En buen estado,0,1,0,1,Gas,0,0,1
425,Piso en venta en Calle Rua Do.Ecuador,Casablanca-Calvario (Distrito Casco Urbano. Vigo),349000,123.0,3.0,2.0,Planta: 1ª,En buen estado,100.00 euros. contador individual. invierno 140€ - verano 80€ la media al mes 100€ de calefección y agua caliente.,1,0,1,Gas colectivo,1,0,0
426,"Piso en venta en Avenida Vigo, cerca de Camino de los Bosques",Chapela (San Fausto). Municipio de Redondela,145000,110.0,3.0,1.0,Planta: 3ª,En buen estado,Entre 80 y 100€,0,0,1,No tiene,0,0,1
427,Piso en venta en Sanxenxo Playa,Sanxenxo,444000,92.0,3.0,2.0,Planta: 4ª,En buen estado,Entre 40 y 60€,1,1,1,Eléctrica,0,1,0
428,"Piso en venta en Travesía de Vigo, cerca de Callejón del Viso",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),195000,100.0,4.0,2.0,Planta: 2ª,En buen estado,"141.00 euros. 141 ( +21 actual aprovisionamiento)  calefacción + agua fría, agua caliente con contadores  aprox 5 euros.",1,0,1,Gas colectivo,1,0,0
429,Piso en venta en A Seca-Os Salgueriños,A Seca-Os Salgueriños (Pontevedra Capital),180000,80.0,2.0,2.0,Planta: 20ª,En buen estado,0,0,1,1,Gas,0,0,1
430,Piso en venta en Calle de Ricardo Santos,Sanxenxo,250000,82.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,1
431,Piso en venta en Cangas,Cangas,150000,65.0,2.0,2.0,,En buen estado,0,1,0,1,No tiene,1,0,0
432,"Piso en venta en Calle Fonte de Ons, nº 30",Sanxenxo,149900,82.0,2.0,2.0,Planta: 1ª,En buen estado,Entre 20 y 40€,1,1,1,No tiene,1,0,0
433,Piso en venta en Calle de Rosario,Casablanca-Calvario (Distrito Casco Urbano. Vigo),285000,120.0,3.0,2.0,,En buen estado,Entre 80 y 100€,1,0,1,No tiene,1,1,0
434,Piso en venta en Barcelos,Zona Praza de Barcelos (Pontevedra Capital),165000,75.0,4.0,1.0,Planta: 5ª,En buen estado,56.00 euros.,1,0,0,Eléctrica,0,0,1
435,Piso en venta en Calle de Augusto González Besada,Sanxenxo,170000,90.0,3.0,2.0,,En buen estado,0,1,0,0,No tiene,0,0,0
436,Piso en venta en Montalvo,Adina (Santa María). Municipio de Sanxenxo,156000,71.0,2.0,2.0,Planta: 2ª,En buen estado,Más de 100€,1,1,0,No tiene,1,1,0
437,Piso en venta en San Roque,Vilagarcía de Arousa,95000,129.0,5.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,Gas natural,0,0,0
438,"Piso en venta en Calle de Iglesias Vilarelle, 5",Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),200000,111.0,4.0,2.0,,En buen estado,Entre 60 y 80€,1,0,1,No tiene,0,1,1
439,Piso en venta en Ponteareas,Ponteareas,124000,100.0,3.0,2.0,,En buen estado,0,1,0,1,Central,0,0,1
440,Piso en venta en Cangas,Cangas,125000,50.0,2.0,1.0,,En buen estado,0,1,0,0,No tiene,1,0,0
441,"Piso en venta en Calle Praia Montalvo, nº 10",Adina (Santa María). Municipio de Sanxenxo,115000,40.0,1.0,1.0,,En buen estado,0,0,0,1,No tiene,0,1,0
442,Apartamento en venta en Calle Pintor Urbano Lugrís,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),119000,48.0,1.0,1.0,Planta: 1ª,En buen estado,35.00 euros.,1,0,0,Gas individual,1,1,1
443,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,175000,95.0,3.0,2.0,Planta: 4ª,A estrenar,0,1,0,1,Gas natural,1,0,0
444,Piso en venta en Salceda de Caselas,Salceda de Caselas,95000,100.0,3.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,No tiene,1,1,0
445,"Piso en venta en Calle Pino, cerca de Calle de Fátima",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),260000,140.0,4.0,2.0,Planta: 4ª,En buen estado,100.00 euros.,1,0,1,Suelo radiante,1,0,1
446,Piso en venta en Núcleo Urbano,Cangas,145000,63.0,2.0,1.0,,En buen estado,0,1,0,1,No tiene,1,0,0
447,Piso en venta en Portonovo,Portonovo (Sanxenxo),110000,62.0,1.0,1.0,Planta: 2ª,En buen estado,Entre 20 y 40€,1,0,0,No tiene,1,0,0
448,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,175000,100.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Gas natural,1,0,0
449,"Piso en venta en Calle del Miño, 23",Salvaterra de Miño,93500,80.0,2.0,1.0,Planta: 1ª,En buen estado,0,1,0,0,Eléctrica,1,1,0
450,Piso en venta en Calle Sanxenxo,Sanxenxo,350000,95.0,3.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,1
451,"Piso en venta en Calle de Iglesias Vilarelle, 5",Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),200000,110.0,4.0,2.0,Planta: 1ª,En buen estado,0,0,1,1,Gas,0,0,0
452,Apartamento en venta en Doblada,Casablanca-Calvario (Distrito Casco Urbano. Vigo),155000,50.0,1.0,1.0,Planta: Bajo,En buen estado,Entre 40 y 60€,0,0,0,No tiene,0,0,0
453,Piso en venta en Santiago de Vigo,Centro-Areal (Distrito Casco Urbano. Vigo),479000,200.0,4.0,2.0,Planta: 1ª,En buen estado,0,0,0,1,No tiene,0,1,0
454,Piso en venta en Sanxenxo,Sanxenxo,252000,109.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,1
